is Elon Musk,context annotations domain 0,context annotations entity 0,context annotations domain 1,context annotations entity 1,context annotations domain 2,context annotations entity 2,context annotations domain 3,context annotations entity 3,context annotations domain 4,context annotations entity 4,context annotations domain 5,context annotations entity 5,annotations
False,Business Taxonomy,Gaming Business,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,"[0.8682, 'Bali G-20 Summit', 'Other']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
False,Person,Joko Widodo,Politician,Joko Widodo,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Joko Widodo,Unified Twitter Taxonomy,Political figures,Person,Narendra Modi,
False,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political events,Unified Twitter Taxonomy,Indonesia politics,Unified Twitter Taxonomy,Indonesia political events,Unified Twitter Taxonomy,G20 Summit 2022,Person,Narendra Modi,
False,Person,Joko Widodo,Politician,Joko Widodo,Business Taxonomy,Sports & Fitness Business,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Joko Widodo,Unified Twitter Taxonomy,Political figures,
False,Person,Rishi Sunak,Politician,Rishi Sunak,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,Unified Twitter Taxonomy,Rishi Sunak,Unified Twitter Taxonomy,United Kingdom politics,"[0.9763, 'Bali', 'Place']"
False,Person,Anthony Albanese,Events [Entity Service],Australian Federal Election 2022,Politician,Anthony Albanese,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,Unified Twitter Taxonomy,Anthony Albanese,
False,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political issues,Unified Twitter Taxonomy,Economic Issues in India,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,
False,Person,Narendra Modi,Person,Giorgia Meloni,Politician,Narendra Modi,Politician,Giorgia Meloni,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,Giorgia Meloni,
False,Unified Twitter Taxonomy,Global Economy,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political issues,Unified Twitter Taxonomy,Economic Issues in India,Unified Twitter Taxonomy,Climate change,Person,Narendra Modi,"[0.958, 'India', 'Place']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
False,Unified Twitter Taxonomy,Global Economy,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political issues,Unified Twitter Taxonomy,Economic Issues in India,Person,Narendra Modi,Politician,Narendra Modi,"[0.5849, 'Scholz', 'Person']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
False,Person,Narendra Modi,Person,Emmanuel Macron,Politician,Narendra Modi,Politician,Emmanuel Macron,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,Emmanuel Macron,
False,Business Taxonomy,Technology Business,Person,Narendra Modi,Person,Emmanuel Macron,Politician,Narendra Modi,Politician,Emmanuel Macron,Entities [Entity Service],Technology,"[0.9419, 'India', 'Place']"
False,Business Taxonomy,Financial Services Business,Business Taxonomy,Technology Business,Interests and Hobbies Vertical,Business & finance,Entities [Entity Service],Technology,Entities [Entity Service],Financial Technology,Unified Twitter Taxonomy,Global Economy,
False,Entities [Entity Service],Services,Product,Google Innovation,Ongoing News Story,COVID-19,Unified Twitter Taxonomy,COVID-19,Person,Narendra Modi,Politician,Narendra Modi,"[0.9412, 'India', 'Place']"
False,Entities [Entity Service],Services,Business Taxonomy,Technology Business,Product,Google Innovation,Entities [Entity Service],Technology,Interests and Hobbies Category,Digital Transformation,Unified Twitter Taxonomy,Politics,
False,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political events,Unified Twitter Taxonomy,Indonesia politics,Unified Twitter Taxonomy,Indonesia political events,Unified Twitter Taxonomy,G20 Summit 2022,Person,Narendra Modi,"[0.3995, '20', 'Organization']"
False,Business Taxonomy,Gaming Business,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political events,Unified Twitter Taxonomy,Indonesia politics,Unified Twitter Taxonomy,Indonesia political events,Unified Twitter Taxonomy,G20 Summit 2022,"[0.7763, 'G20 Summit', 'Other']"
False,Person,Ngozi Okonjo-Iweala,Business Taxonomy,Financial Services Business,Unified Twitter Taxonomy,Business & finance,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Business personalities,Unified Twitter Taxonomy,Ngozi Okonjo-Iweala,
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
