is Elon Musk,context annotations domain 0,context annotations entity 0,context annotations domain 1,context annotations entity 1,context annotations domain 2,context annotations entity 2,context annotations domain 3,context annotations entity 3,context annotations domain 4,context annotations entity 4,context annotations domain 5,context annotations entity 5,annotations
False,Person,Rick Scott,Events [Entity Service],2022 United States midterm elections,Politician,Rick Scott,Political Race,2022 United States midterm elections,Business Taxonomy,Publisher & News Business,News Vertical,US Political News,"[0.973, 'Mitch McConnell', 'Person']"
False,Sports League,EFL Championship,Business Taxonomy,Publisher & News Business,Business Taxonomy,Sports & Fitness Business,News Vertical,US Political News,News Vertical,Russia national news,Unified Twitter Taxonomy,EFL Championship,"[0.9464, 'US', 'Place']"
False,Entities [Entity Service],Aerospace,Business Taxonomy,"Automotive, Aircraft & Boat Business",Business Taxonomy,Publisher & News Business,Brand,NASA,Entities [Entity Service],Science,Interests and Hobbies Category,Space,"[0.9889, 'NASA', 'Organization']"
False,Person,Donald Trump,Politician,Donald Trump,Business Taxonomy,Publisher & News Business,News Vertical,US Political News,Unified Twitter Taxonomy,Donald Trump,Unified Twitter Taxonomy,Politics,"[0.9744, 'Donald Trump', 'Person']"
False,Sports League,EFL Championship,Business Taxonomy,Publisher & News Business,Business Taxonomy,Sports & Fitness Business,News Vertical,US Political News,News Vertical,Russia national news,Political Body,North Atlantic Treaty Organization,"[0.9724, 'Poland', 'Place']"
False,Business Taxonomy,Publisher & News Business,Ongoing News Story,COVID-19,Unified Twitter Taxonomy,COVID-19,Brand Vertical,Entertainment,Entities [Entity Service],TV/Movies Related - Entertainment,Brand,CNN,"[0.9209, 'Trump', 'Person']"
False,Person,Rick Scott,Politician,Rick Scott,Business Taxonomy,Publisher & News Business,News Vertical,US Political News,Political Body,United States Congress,Unified Twitter Taxonomy,Politics,"[0.9765, 'Rick Scott', 'Person']"
False,Sports League,EFL Championship,Business Taxonomy,Publisher & News Business,Business Taxonomy,Sports & Fitness Business,News Vertical,US Political News,News Vertical,Russia national news,Unified Twitter Taxonomy,EFL Championship,"[0.9508, 'Poland', 'Place']"
False,Person,Andy Biggs,Person,Kevin McCarthy,Events [Entity Service],2022 United States midterm elections,Politician,Andy Biggs,Politician,Kevin McCarthy,Political Race,2022 United States midterm elections,"[0.9796, 'Kevin McCarthy', 'Person']"
False,Sports League,EFL Championship,Business Taxonomy,Publisher & News Business,Business Taxonomy,Sports & Fitness Business,News Vertical,US Political News,News Vertical,Russia national news,Unified Twitter Taxonomy,EFL Championship,"[0.9278, 'Kyiv', 'Place']"
